statename,year,time0,tminus1,time,event,womleg,collc,fundam,south,citideo,legideo,murderrate
"ALABAMA",1991,0,0,1,0,5.7,15.7,3,1,39.81,33.02,11.47
"ALABAMA",1992,0,1,2,1,5.7,15.7,3,1,39.62,34.57,11
"ALASKA",1991,0,0,1,0,23.3,23,1,0,42.25,40.55,7.37
"ALASKA",1992,0,1,2,0,23.3,23,1,0,46.58,44.1,7.5
"ALASKA",1993,0,2,3,1,21.7,23,1,0,46.06,40.95,9.02
"ARIZONA",1991,0,0,1,0,34.4,13.3,7,1,35.66,24.55,7.76
"ARIZONA",1992,0,1,2,0,34.4,13.3,7,1,43.21,33.96,8.14
"ARIZONA",1993,0,2,3,0,33.3,13.3,7,1,39.21,7.62,8.61
"ARIZONA",1994,0,3,4,1,33.3,13.3,7,1,33.25,20.79,10.45
"ARKANSAS",1991,0,0,1,0,7.4,20.3,1,0,40.28,63.9,11.13
"ARKANSAS",1992,0,1,2,0,7.4,20.3,1,0,45.69,76,10.8
"ARKANSAS",1993,0,2,3,0,10.4,20.3,1,0,42.23,70.75,10.19
"ARKANSAS",1994,0,3,4,0,11.1,20.3,1,0,40.3,73.38,11.99
"ARKANSAS",1995,0,4,5,0,12.6,20.3,1,0,40.07,72.06,10.43
"CALIFORNIA",1991,0,0,1,0,17.5,23.4,0,0,51.67,48.41,12.7
"CALIFORNIA",1992,0,1,2,1,18.3,23.4,0,0,52.47,48.92,12.7
"COLORADO",1991,0,0,1,0,31,27.2,0,0,46.34,46.83,5.89
"COLORADO",1992,0,1,2,0,31,27.2,0,0,47.76,48.1,6.22
"COLORADO",1993,0,2,3,0,35,27.2,0,0,42.86,56.39,5.78
"COLORADO",1994,0,3,4,0,35,27.2,0,0,41.3,52.25,5.44
"COLORADO",1995,0,4,5,0,31,27.2,0,0,42.48,54.32,5.76
"COLORADO",1996,0,5,6,0,33,27.2,0,0,45.85,53.28,4.71
"COLORADO",1997,0,6,7,0,35,27.2,0,0,46.29,53.8,4.03
"COLORADO",1998,0,7,8,0,37,27.2,0,0,45.15,53.54,4.61
"CONNECTICUT",1991,0,0,1,0,31,27,1,0,61.64,58.53,5.68
"CONNECTICUT",1992,0,1,2,0,23,27,1,0,66.2,62.35,5.06
"CONNECTICUT",1993,0,2,3,1,25.1,27,1,0,62.47,57.58,6.29
"DELAWARE",1991,0,0,1,0,12.9,21.4,0,0,55.07,37.72,5.44
"FLORIDA",1991,0,0,1,0,18.8,18.3,0,1,42.78,66.56,9.4
"FLORIDA",1992,0,1,2,1,18.8,18.3,0,1,44.75,67.29,8.96
"GEORGIA",1991,0,0,1,0,14,19.3,0,1,36.41,51.77,12.82
"GEORGIA",1992,0,1,2,0,14.4,19.3,0,1,44.47,61.82,10.98
"GEORGIA",1993,0,2,3,1,17.4,19.3,0,1,38.07,63.56,11.41
"HAWAII",1991,0,0,1,0,27.6,22.9,0,0,78.02,94.25,3.96
"HAWAII",1992,0,1,2,0,27.6,22.9,0,0,75.07,90.63,3.62
"HAWAII",1993,0,2,3,0,23.7,22.9,0,0,82.27,95.75,3.84
"HAWAII",1994,0,3,4,0,25,22.9,0,0,76.75,93.19,4.24
"HAWAII",1995,0,4,5,0,19.7,22.9,0,0,82.62,94.47,4.72
"HAWAII",1996,0,5,6,0,19.7,22.9,0,0,79.84,93.83,3.38
"HAWAII",1997,0,6,7,0,17.1,22.9,0,0,74.13,94.15,3.96
"HAWAII",1998,0,7,8,0,17.1,22.9,0,0,78.96,93.99,2.01
"IDAHO",1991,0,0,1,0,28.6,16.9,1,0,34.28,39.41,1.83
"IDAHO",1992,0,1,2,0,28.6,16.9,1,0,40.72,48.81,3.47
"IDAHO",1993,0,2,3,0,30.5,16.9,1,0,35.14,39.92,2.91
"IDAHO",1994,0,3,4,0,29.5,16.9,1,0,22.92,44.36,3.53
"IDAHO",1995,0,4,5,0,27.6,16.9,1,0,20.23,42.14,4.13
"IDAHO",1996,0,5,6,0,27.6,16.9,1,0,20.37,43.25,3.62
